name,types,prerequisites,description,benefit,normal,special,goal,completion_benefit,prerequisite_feats,prerequisite_skills,prerequisite_race,suggested_traits,source
Cushioning Armor,armor_mastery/general,"Armor training class feature, proficiency with medium or heavy armor.","You twist in your armor, allowing it to mitigate your fall.","When you take falling damage, you can direct half of the damage to your armor. This damage ignores the armor's hardness.",,,,,,,,,Armor Masters Handbook

Greater Ironclad Reactions,armor_mastery/general,"Combat Reflexes, Ironclad Reactions, base attack bonus +11 or fighter level 8th, armor training class feature, proficiency with medium armor.",You are able to quickly react to attacks.,"You can use Ironclad Reactions more than once per round, but not more than once for each act you take that provokes an attack of opportunity. Each 5-foot step you take still counts as expending one use of an attack of opportunity.",,,,,"Combat Reflexes, Ironclad Reactions",,,,Armor Masters Handbook

Imposing Bearing,armor_mastery/general,"Poised Bearing, base attack bonus +11 or fighter level 8th, armor training class feature, proficiency with heavy armor.",Your armor allows you to push your opponents around.,"You treat your size as two categories larger for the purposes of determining the size of creatures against which you can attempt bull rush, drag, overrun, and trip combat maneuvers.",,,,,Poised Bearing,,,,Armor Masters Handbook

Intense Blows,armor_mastery/general,"Str 13, Power Attack, base attack bonus +6 or fighter level 4th, armor training class feature, proficiency with heavy armor.",Your forceful blows and your armor's weight make you more difficult to hinder in combat.,"When you are using Power Attack, you gain a +1 bonus to your CMD until the beginning of your next turn. When your base attack bonus reaches +4, and every 4 points thereafter, this bonus increases by another 1.",,,,,Power Attack,,,,Armor Masters Handbook

Ironclad Reactions,armor_mastery/general,"Base attack bonus +6 or fighter level 4th, armor training class feature, proficiency with medium armor.",You are able to quickly react to attacks.,"Once per round when a foe successfully hits you with an attack of opportunity, you can expend a use of an attack of opportunity to take a 5-foot step. You can do this even if you have already taken a 5-foot step.",,,,,,,,,Armor Masters Handbook

Knocking Blows,armor_mastery/general,"Str 13, Intense Blows, Power Attack, base attack bonus +11 or fighter level 8th, armor training class feature, proficiency with heavy armor.",The weight of your blows overwhelms your opponents.,"If you hit a creature that is no more than one size category larger than you with a Power Attack, the creature you attacked is also knocked off balance. Until the beginning of your next turn, it takes a -4 penalty to its CMD against combat maneuvers that move it or knock it prone.",,,,,"Intense Blows, Power Attack",,,,Armor Masters Handbook

Poised Bearing,armor_mastery/general,"Base attack bonus +6 or fighter level 4th, armor training class feature, proficiency with medium or heavy armor.",Your armor's weight gives you stable footing.,"You treat your size as one category larger for the purposes of determining the size of creatures against which you can attempt bull rush, drag, overrun, and trip combat maneuvers.",,,,,,,,,Armor Masters Handbook

Secured Armor,armor_mastery/general,"Base attack bonus +11 or fighter level 8th, armor training class feature, proficiency with medium or heavy armor.",You are adept at using your armor to cover your most vulnerable areas.,"When you are hit by a confirmed critical hit or a sneak attack, there is a 25% chance that the critical hit or sneak attack is negated and damage is instead rolled normally.",,This chance stacks with the light fortification and moderate fortification armor special abilities.,,,,,,,Armor Masters Handbook

Sprightly Armor,armor_mastery/general,"Dex 13, base attack bonus +11 or fighter level 8th, armor training class feature, proficiency with light armor.",You make the most of your armor's magical capabilities.,You add your armor's enhancement bonus as a bonus on your initiative checks.,,,,,,,,,Armor Masters Handbook

Improved Shield Focus,combat,"Shield Focus, base attack bonus +6.",Your mastery makes the most of your shield.,You reduce the armor check penalty of any shield you are using by 1. You also use your character level in place of your base attack bonus for the purpose of shield mastery feat prerequisites.,,,,,Shield Focus,,,,Armor Masters Handbook

Cushioning Shield,shield_mastery/general,"Shield Focus, base attack bonus +6 or fighter level 4th.",You let your shield absorb some of the damage from a fall.,"When you fall 10 or more feet, you can direct half of the falling damage you would take to your shield. This damage ignores the shield's hardness.",,,,,Shield Focus,,,,Armor Masters Handbook

Defended Movement,shield_mastery/general,"Shield Focus, base attack bonus +6 or fighter level 4th.",You deftly block attacks with your shield while moving through battle.,You gain a +2 bonus to your AC against attacks of opportunity.,,Defended Movement counts as both Dodge and Mobility for the purposes of feats that have Dodge and Mobility as prerequisites.,,,Shield Focus,,,,Armor Masters Handbook

Feint Defender,shield_mastery/general,"Shield Focus, base attack bonus +6 or fighter level 4th, Sense Motive 1 rank.",You use your shield to conceal your own body language and keep your attention focused.,You add your shield's bonus to AC to the DC of feint attempts against you.,,,,,Shield Focus,,,,Armor Masters Handbook

Greater Ray Shield,shield_mastery/general,"Dex 17, Missile Shield, Ray Shield, Spellbreaker.",You can turn your shield to deflect rays and other ranged attacks without harming it.,"When you use the Ray Shield feat, your shield is not affected by the def lected ranged touch attack.",,,,,"Missile Shield, Ray Shield, Spellbreaker",,,,Armor Masters Handbook

Guarded Charge,shield_mastery/general,"Shield Focus, base attack bonus +6 or fighter level 4th.",Your raised shield protects you as you charge forward.,"When performing a bull rush or overrun combat maneuver as part of a charge, you don't provoke an attack of opportunity for that maneuver. If you already  have the Improved Bull Rush or Improved Overrun feats, you gain an additional +2 bonus on your combat maneuver check when attempting the respective maneuver.",,"This feat counts as having a Strength score of 13 and Power Attack for the purposes of meeting the prerequisites of Improved Bull Rush and Improved Overrun, and for feats that require either of those two feats as prerequisites.",,,Shield Focus,,,,Armor Masters Handbook
